,precision,recall,f1-score,support
0,0.9375,0.9375,0.9375,16.0
1,1.0,1.0,1.0,11.0
2,1.0,1.0,1.0,13.0
3,1.0,1.0,1.0,9.0
4,0.9285714285714286,1.0,0.9629629629629629,13.0
5,0.8461538461538461,0.6470588235294118,0.7333333333333333,17.0
6,0.9,1.0,0.9473684210526315,18.0
7,0.8888888888888888,1.0,0.9411764705882353,16.0
8,1.0,1.0,1.0,16.0
9,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
10,0.8571428571428571,1.0,0.9230769230769231,6.0
11,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
12,0.8888888888888888,0.7272727272727273,0.8,11.0
13,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
14,1.0,0.8181818181818182,0.9,11.0
15,0.8571428571428571,0.9473684210526315,0.9,19.0
16,1.0,0.8823529411764706,0.9375,17.0
17,0.9285714285714286,0.7647058823529411,0.8387096774193549,17.0
18,1.0,1.0,1.0,6.0
19,1.0,0.9444444444444444,0.9714285714285714,18.0
20,0.9411764705882353,1.0,0.9696969696969697,16.0
21,1.0,1.0,1.0,12.0
22,0.9,1.0,0.9473684210526315,9.0
23,1.0,0.6666666666666666,0.8,3.0
24,1.0,0.9230769230769231,0.96,13.0
25,0.7894736842105263,1.0,0.8823529411764706,15.0
26,1.0,1.0,1.0,17.0
27,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
28,0.9,1.0,0.9473684210526315,18.0
29,1.0,0.8333333333333334,0.9090909090909091,12.0
30,1.0,1.0,1.0,12.0
31,0.8571428571428571,1.0,0.9230769230769231,12.0
32,1.0,1.0,1.0,11.0
33,0.8461538461538461,0.9166666666666666,0.88,12.0
34,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
35,1.0,1.0,1.0,14.0
36,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
37,0.9,0.9,0.9,10.0
38,1.0,1.0,1.0,11.0
39,0.9285714285714286,1.0,0.9629629629629629,13.0
40,0.9090909090909091,1.0,0.9523809523809523,10.0
41,0.875,0.875,0.875,8.0
42,1.0,0.9166666666666666,0.9565217391304348,12.0
43,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
44,0.8333333333333334,1.0,0.9090909090909091,10.0
45,1.0,0.9375,0.967741935483871,16.0
46,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
47,0.8125,0.8666666666666667,0.8387096774193549,15.0
48,0.6666666666666666,0.9333333333333333,0.7777777777777778,15.0
49,1.0,1.0,1.0,11.0
50,1.0,1.0,1.0,9.0
51,1.0,1.0,1.0,16.0
52,1.0,0.9411764705882353,0.9696969696969697,17.0
53,0.9285714285714286,0.8125,0.8666666666666667,16.0
54,1.0,0.8461538461538461,0.9166666666666666,13.0
55,1.0,1.0,1.0,11.0
56,1.0,0.9090909090909091,0.9523809523809523,11.0
57,0.875,0.6363636363636364,0.7368421052631579,11.0
58,1.0,1.0,1.0,11.0
59,0.75,0.8,0.7741935483870968,15.0
60,1.0,1.0,1.0,10.0
61,1.0,0.8,0.8888888888888888,15.0
62,0.7272727272727273,0.8,0.7619047619047619,10.0
63,0.9473684210526315,1.0,0.972972972972973,18.0
64,0.9375,0.8823529411764706,0.9090909090909091,17.0
65,1.0,1.0,1.0,11.0
66,0.9333333333333333,0.8235294117647058,0.875,17.0
67,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
68,0.9,0.9,0.9,10.0
69,1.0,1.0,1.0,10.0
70,1.0,0.8181818181818182,0.9,11.0
71,0.9285714285714286,1.0,0.9629629629629629,13.0
72,1.0,1.0,1.0,4.0
73,1.0,1.0,1.0,14.0
74,1.0,0.8333333333333334,0.9090909090909091,12.0
75,0.8571428571428571,1.0,0.9230769230769231,18.0
76,0.9375,0.9375,0.9375,16.0
accuracy,0.926073926073926,0.926073926073926,0.926073926073926,0.926073926073926
macro avg,0.933881635209487,0.9260206024168068,0.9268081561144453,1001.0
weighted avg,0.9310531765256607,0.926073926073926,0.9256436435713664,1001.0
